2014,01/01/2014,05/01/2014,NO,ABCK
2014,02/03/2014,16/03/2014,HI,A
2014,23/02/2014,09/03/2014,HI,BK
2014,16/02/2014,02/03/2014,HI,C
2014,27/04/2014,11/05/2014,PR,AK
2014,20/04/2014,04/05/2014,PR,B
2014,13/04/2014,27/04/2014,PR,C
2014,06/07/2014,30/08/2014,ET,ABC
2014,09/07/2014,02/09/2014,ET,K
2014,19/10/2014,02/11/2014,TO,ABCK
2014,21/12/2014,31/12/2014,NO,ABCK
2015,01/01/2015,04/01/2015,NO,ABCK
2015,08/02/2015,22/02/2015,HI,A
2015,22/02/2015,08/03/2015,HI,BK
2015,15/02/2015,01/03/2015,HI,C
2015,12/04/2015,26/04/2015,PR,A
2015,26/04/2015,10/05/2015,PR,BK
2015,19/04/2015,03/05/2015,PR,C
2015,05/07/2015,30/08/2015,ET,ABC
2015,09/07/2015,02/09/2015,ET,K
2015,18/10/2015,01/11/2015,TO,ABCK
2015,20/12/2015,31/12/2015,NO,ABCK
2016,01/01/2016,03/01/2016,NO,ABCK
2016,07/02/2016,21/02/2016,HI,B
2016,14/02/2016,28/02/2016,HI,A
2016,21/02/2016,06/03/2016,HI,CK
2016,10/04/2016,24/04/2016,PR,B
2016,17/04/2016,01/05/2016,PR,A
2016,24/04/2016,08/05/2016,PR,CK
2016,03/07/2016,30/08/2016,ET,ABC
